Timestamp,Seconds,S,Um,Vm,Wm,T,P,H,MD,Sts,Vx,Vy,Vz,Lat,Lon,Alt,Yaw,Roll,Pitch,nan,CH4,C2H6,H20,T_a,Batt,R,C2C1,Power,Current,SOC,Lat_a,Lon_a,TS,Timestamp_UTC,Rho,Rho_err,Sc,V,U,W,WD,V_err,U_err,Sc_avg,WD_avg,V_avg,U_avg,W_avg,U_err_avg,V_err_avg,Nx,Ny,cross_wind,cross_wind_err,CH4_sub,CH4_res,CH4_adj,CH4_adj_err,BG_Samples_CH4,C2H6_sub,C2H6_res,C2H6_adj,C2H6_adj_err,BG_Samples_C2H6
2023-06-06 10:51:47-07:00,374.462465,5.53,-0.12,5.53,-0.29,20.22,860.63,57.28,200.0,2.0,-1.04298,-0.425396,0.0471904,34.0618694,-106.884721,1422.80911,-10.8286184,1.93584933,-4.33018263,,1.92278,1.51586,14789.1,30.0317,11871.0,-0.673709,-1.0,16.0,-1254.0,92.0,,0.0,,2023-06-06 17:51:47+00:00,1.021964075350644,0.01376757921206355,5.447492582282009,4.983589611433606,-2.1997749927727948,-0.2428096,156.18315832984257,0.3248067593496674,0.317617200152036,5.992497208025936,158.1951023712907,5.560748454337838,-2.2262863050235424,-0.27616133200000004,0.34215630722493146,0.34032826232868923,0.37766098027625083,-0.9259439421351496,-5.9897228133623015,0.29584077943200027,1.937130735499908,,-0.014350735499908174,0.005099019513592785,False,0.5149222146965147,,1.0009377853034853,0.7071067811865476,False
2023-06-06 10:51:47.200000-07:00,374.662465,6.6,-0.22,6.57,-0.59,20.17,860.63,57.46,202.0,2.0,-1.06826,-0.445959,0.00527044,34.0618689,-106.884724,1422.82034,-10.8230195,2.00438089,-4.04007595,,,,,,,,,,,,,,,2023-06-06 17:51:47.200000+00:00,1.0221382816910487,0.013770527200384675,6.475493214646527,5.9658623953396885,-2.518034601192963,-0.58472956,157.1166628738789,0.35406405327626567,0.3612807391108701,,,,,,,,0.3852414387506152,-0.9228158179557587,,,,,,,,,,,,
2023-06-06 10:51:47.400000-07:00,374.862465,6.43,-0.11,6.41,-0.46,20.4,860.63,56.7,31.0,2.0,-1.05438,-0.498297,-0.0495895,34.0618684,-106.884726,1422.79629,-10.872332,2.38012561,-3.53939067,,,,,,,,,,,,,,,2023-06-06 17:51:47.400000+00:00,1.0213374238992283,0.01375697709342978,6.243782271007078,5.775894599744237,-2.3714676089686897,-0.5095895,157.67792057076088,0.34926239466815506,0.35509838519704107,,,,,,,,0.42728346859934707,-0.9041177121712144,,,,,,,,,,,,
2023-06-06 10:51:47.600000-07:00,375.062465,6.43,-0.28,6.41,-0.46,20.62,860.62,55.89,25.0,2.0,-1.041,-0.472217,0.104391,34.0618678,-106.884728,1422.8181399999999,-10.9094871,2.64297832,-2.87493213,,,,,,,,,,,,,,,2023-06-06 17:51:47.600000+00:00,1.020560701000566,0.013744000706544999,6.298967709554605,5.768945311327979,-2.529083668232135,-0.355609,156.3275376919135,0.3491542389844692,0.3535721364939733,,,,,,,,0.4131033103337469,-0.9106841686288941,,,,,,,,,,,,
2023-06-06 10:51:47.800000-07:00,375.262465,6.32,-0.26,6.31,-0.33,20.46,860.61,56.48,25.0,2.0,-1.00471,-0.468393,-0.0485771,34.0618673,-106.88473,1422.80667,-10.8665983,2.21695176,-3.83864595,,,,,,,,,,,,,,,2023-06-06 17:51:47.800000+00:00,1.021104981030122,0.013753365001838274,6.185205914375835,5.679445049755509,-2.4496277533612023,-0.3785771,156.66875655020118,0.3464006163732914,0.3495402418949846,,,,,,,,0.422536035830027,-0.9063461250675958,,,,,,,,,,,,
2023-06-06 10:51:48-07:00,375.462465,4.83,0.18,4.83,0.08,20.63,860.65,55.85,212.0,2.0,-1.01115,-0.486465,0.0797298,34.0618669,-106.884733,1422.83816,-10.8684979,1.51717697,-3.31904619,,1.94037,1.57923,14839.5,30.032,11832.0,-0.57194,-1.0,15.0,-1280.0,92.0,,0.0,,2023-06-06 17:51:48+00:00,1.020561536152845,0.013743535747680424,4.632133740121087,4.290837022155378,-1.7451018983626536,0.1597298,157.8682126968075,0.3066539852139233,0.2911059459029529,5.675344268268349,156.70331376844848,5.210426788464728,-2.2489478434682546,-0.3696920068,0.33036160399919795,0.333334936995449,0.43353705869881576,-0.9011357382407933,-5.670304023797041,0.27771372111324544,1.9372026172955195,,0.0031673827044804703,0.005099019513592785,False,0.521423474603486,,1.0578065253965139,0.7071067811865476,False
2023-06-06 10:51:48.200000-07:00,375.662465,5.75,-0.15,5.72,-0.61,20.55,860.65,56.06,30.0,2.0,-1.033,-0.497359,-0.000736034,34.0618665,-106.884735,1422.8020299999998,-10.8528936,1.66551872,-3.49866765,,,,,,,,,,,,,,,2023-06-06 17:51:48.200000+00:00,1.0208395236329002,0.013748236375472294,5.569998682056484,5.09208900214869,-2.2573247246037367,-0.610736034,156.09227443518535,0.32990626267799344,0.3252863327886397,,,,,,,,0.43380756769775813,-0.9010055461583769,,,,,,,,,,,,
2023-06-06 10:51:48.400000-07:00,375.862465,5.92,-0.16,5.88,-0.62,20.78,860.65,55.35,35.0,2.0,-1.01051,-0.526335,-0.0432677,34.061866,-106.884737,1422.8135,-10.741404,2.2794508,-2.82240069,,,,,,,,,,,,,,,2023-06-06 17:51:48.400000+00:00,1.0200407174870985,0.01373473089234053,5.690415295233737,5.220817556936085,-2.263601172781545,-0.6632677,156.55978746813474,0.3345595817275679,0.332303362915439,,,,,,,,0.46195354849137715,-0.8869041205430409,,,,,,,,,,,,
2023-06-06 10:51:48.600000-07:00,376.062465,5.35,-0.24,5.34,-0.25,20.63,860.65,55.87,36.0,2.0,-0.956602,-0.52137,0.043059,34.0618654,-106.884739,1422.75588,-10.8192087,1.42657579,-2.71844215,,,,,,,,,,,,,,,2023-06-06 17:51:48.600000+00:00,1.020561536152845,0.013743535747680424,5.167842057277951,4.678657613468092,-2.1947105651788936,-0.20694099999999999,154.86920532726924,0.31976748917172365,0.3087892520391338,,,,,,,,0.47856000486863975,-0.8780548512138222,,,,,,,,,,,,
2023-06-06 10:51:48.800000-07:00,376.262465,4.71,-0.45,4.69,-0.07,20.78,860.65,55.35,73.0,2.0,-1.02826,-0.504675,0.0988429,34.0618648,-106.884742,1422.78298,-10.9168242,0.830221218,-2.74005155,,,,,,,,,,,,,,,2023-06-06 17:51:48.800000+00:00,1.0200407174870985,0.01373473089234053,4.656582365496535,4.015228050472834,-2.358326319521839,0.02884289999999999,149.57234344248747,0.3031751645950192,0.280530367395117,,,,,,,,0.44059778710476116,-0.8977046229124519,,,,,,,,,,,,
